NO NO NO NO NO NO NO
127.860001 0.13999939 4.25878738E-4 1.69808973E-5 4.01311932E-4 1.33733795E-6 3.99974582E-4
128.160004 0.160003662 3.90998845E-4 1.52196089E-5 4.01890371E-4 1.41184285E-6 4.00478544E-4
128.480011 0.159996033 4.05236293E-4 1.54945974E-5 4.02573729E-4 1.55823057E-6 4.01015481E-4
128.800003 0.160003662 4.16472991E-4 1.57075774E-5 4.03116283E-4 1.56447004E-6 4.01551806E-4
129.119995 0.159996033 4.01681609E-4 1.5426489E-5 4.03717568E-4 1.63003654E-6 4.0208752E-4
129.440002 0.160003662 4.01070021E-4 1.54143727E-5 4.04363935E-4 1.74131139E-6 4.02622623E-4
129.76001 0.159996033 4.11160814E-4 1.56074511E-5 4.04935097E-4 1.77796869E-6 4.03157115E-4
130.080002 0.160003662 3.98107921E-4 1.53573455E-5 4.05547034E-4 1.85603676E-6 4.03690996E-4
130.399994 0.159996033 4.18270211E-4 1.57418071E-5 4.06183244E-4 1.95896655E-6 4.04224265E-4
130.720001 0.160003662 3.81520076E-4 1.50339974E-5 4.06780193E-4 2.02326555E-6 4.04756924E-4
131.040009 0.159996033 4.1412306E-4 1.56635724E-5 4.07386542E-4 2.09754171E-6 4.05289E-4
131.360001 0.160003662 3.82704922E-4 1.50573242E-5 4.08043794E-4 2.22332233E-6 4.05820465E-4
131.679993 0.159996033 4.12345718E-4 1.56299229E-5 4.08614054E-4 2.26272618E-6 4.06351319E-4
131.979996 0.13999939 4.31972381E-4 1.7101951E-5 4.0927346E-4 2.4249814E-6 4.0684847E-4
132.279999 0.160003662 3.99885175E-4 1.5391588E-5 4.09876404E-4 2.53132612E-6 4.07345098E-4
132.580002 0.13999939 4.44836769E-4 1.7354736E-5 4.10469191E-4 2.62798767E-6 4.07841202E-4
132.880005 0.159996033 4.17085306E-4 1.57194936E-5 4.11091431E-4 2.75467119E-6 4.08336753E-4
133.199997 0.160003662 4.08771506E-4 1.55616654E-5 4.11736808E-4 2.87200282E-6 4.08864813E-4
133.519989 0.159996033 4.11160814E-4 1.56074511E-5 4.12404799E-4 3.01253021E-6 4.09392291E-4
133.839996 0.160003662 3.90406407E-4 1.52080747E-5 4.1309878E-4 3.17962599E-6 4.09919157E-4
134.160004 0.160003662 4.14695736E-4 1.56740261E-5 4.13770962E-4 3.3255053E-6 4.10445471E-4
134.480011 0.159996033 3.86277883E-4 1.51278091E-5 4.14453796E-4 3.48260846E-6 4.10971174E-4
134.800003 0.160003662 4.05216968E-4 1.54938589E-5 4.15290677E-4 3.7943596E-6 4.11496323E-4
135.119995 0.159996033 3.77391116E-4 1.49527805E-5 4.1602226E-4 4.00139879E-6 4.12020861E-4
135.440002 0.160003662 3.98700329E-4 1.53687688E-5 4.16834053E-4 4.28918383E-6 4.12544847E-4
135.76001 0.159996033 4.15900402E-4 1.56971491E-5 4.17822244E-4 4.75396746E-6 4.13068279E-4
136.080002 0.160003662 4.08179098E-4 1.5550384E-5 4.18840849E-4 5.24973802E-6 4.135911E-4
136.380005 0.13999939 4.27909952E-4 1.70213443E-5 4.19899385E-4 5.81862423E-6 4.14080772E-4
136.679993 0.159996033 4.19455115E-4 1.57640879E-5 4.21226578E-4 6.65667267E-6 4.14569891E-4
136.979996 0.13999939 4.38066054E-4 1.72221535E-5 4.22470912E-4 7.41235954E-6 4.15058545E-4
137.259995 0.13999939 4.29264095E-4 1.70482544E-5 4.24062775E-4 8.54859809E-6 4.15514194E-4
137.559998 0.160003662 4.11733636E-4 1.56179467E-5 4.2569064E-4 9.68877157E-6 4.16001887E-4
137.860001 0.13999939 4.27909952E-4 1.70213443E-5 4.27654508E-4 1.11654217E-5 4.16489085E-4
138.139999 0.13999939 4.40097268E-4 1.72620348E-5 4.29280772E-4 1.23373984E-5 4.16943367E-4
138.440002 0.160003662 4.0758666E-4 1.55390953E-5 4.3168047E-4 1.42508452E-5 4.17429634E-4
138.740005 0.13999939 4.42128483E-4 1.73018252E-5 4.33563837E-4 1.56484148E-5 4.17915406E-4
139.020004 0.13999939 4.34003596E-4 1.71421125E-5 4.35550173E-4 1.71818028E-5 4.18368378E-4
139.300003 0.13999939 4.55669942E-4 1.75647856E-5 4.3772647E-4 1.890559E-5 4.18820884E-4
