# Simulated time = 10951.235 sec
# [Center energy]  [Energy bin width]       [Rate]        [Rate error]
#     (keV)              (keV)         (counts/sec/keV)  (counts/sec/keV)
6.62 0.04 0.0342427119613 0.00884143050572
6.66 0.04 0.0342427119613 0.00884143050572
6.7 0.04 20.8081550598 0.217949182644
6.74 0.04 0.0091313906014 0.00456569508071
6.78 0.04 0.00228284765035 0.00228284754035
6.82 0.04 2.70060873032 0.0785180093471
6.86 0.04 0.292204499245 0.0258274716192
6.9 0.04 0.0114142373204 0.0051046022825
6.94 0.04 0.0045656953007 0.0032284339524
6.98 0.04 0.0091313906014 0.00456569508071
7.02 0.04 0.666591465473 0.0390093158696
7.06 0.04 0.0114142373204 0.0051046022825
7.1 0.04 7.28228378296 0.128935423089
7.14 0.04 0.0045656953007 0.0032284339524
7.18 0.04 0.157516479492 0.0189627558541
7.22 0.04 0.00228284765035 0.00228284754035
7.26 0.04 0.0730511248112 0.0129137358096
7.3 0.04 0.00228284765035 0.00228284754035
7.34 0.04 0.0 0.0
7.38 0.04 0.0045656953007 0.0032284339524
7.42 0.04 0.340144276619 0.0278657054636
7.46 0.04 0.0456569492817 0.010209204565
7.5 0.04 0.00684854248539 0.00395400792583
7.54 0.04 0.0 0.0
7.58 0.04 0.00684854248539 0.00395400792583
7.62 0.04 0.00228284765035 0.00228284754035
7.66 0.04 0.0205456279218 0.00684854262106
7.7 0.04 0.0091313906014 0.00456569508071
7.74 0.04 0.0182627812028 0.0064568679048
7.78 0.04 4.52232074738 0.101605951204
7.82 0.04 0.0 0.0
7.86 0.04 0.0045656953007 0.0032284339524
7.9 0.04 0.00228284765035 0.00228284754035
7.94 0.04 0.0547883398831 0.0111836232689
7.98 0.04 1.82627809048 0.064568679048
8.02 0.04 3.52928233147 0.0897597538533
8.06 0.04 0.0 0.0
8.1 0.04 2.05227994919 0.068447368177
8.14 0.04 0.0045656953007 0.0032284339524
8.18 0.04 0.0091313906014 0.00456569508071
8.22 0.04 0.0776168182492 0.0133111741911
8.26 0.04 0.00228284765035 0.00228284754035
8.3 0.04 0.0045656953007 0.0032284339524
8.34 0.04 0.0159799326211 0.00603984687285
8.38 0.04 0.0867482051253 0.0140724173444
8.42 0.04 0.00684854248539 0.00395400792583
8.46 0.04 0.00684854248539 0.00395400792583
8.5 0.04 0.00228284765035 0.00228284754035
8.54 0.04 0.00228284765035 0.00228284754035
8.58 0.04 5.16151809692 0.108549340532
8.62 0.04 0.00228284765035 0.00228284754035
8.66 0.04 0.00684854248539 0.00395400792583
8.7 0.04 0.00228284765035 0.00228284754035
8.74 0.04 0.0 0.0
8.78 0.04 0.00684854248539 0.00395400792583
8.82 0.04 0.0 0.0
8.86 0.04 0.910856187344 0.0455998439044
8.9 0.04 0.0045656953007 0.0032284339524
8.94 0.04 0.00228284765035 0.00228284754035
8.98 0.04 0.00228284765035 0.00228284754035
9.02 0.04 0.00228284765035 0.00228284754035
9.06 0.04 0.0045656953007 0.0032284339524
9.1 0.04 0.0 0.0
9.14 0.04 0.0 0.0
9.18 0.04 0.0 0.0
9.22 0.04 0.0 0.0
9.26 0.04 0.00228284765035 0.00228284754035
9.3 0.04 0.00228284765035 0.00228284754035
9.34 0.04 0.00228284765035 0.00228284754035
9.38 0.04 0.00228284765035 0.00228284754035
9.42 0.04 0.00228284765035 0.00228284754035
9.46 0.04 0.00228284765035 0.00228284754035
9.5 0.04 0.0045656953007 0.0032284339524
9.54 0.04 0.178062111139 0.0201615635707
9.58 0.04 0.0 0.0
9.62 0.04 0.00228284765035 0.00228284754035
9.66 0.04 0.0 0.0
9.7 0.04 0.0776168182492 0.0133111741911
9.74 0.04 0.00228284765035 0.00228284754035
9.78 0.04 0.0 0.0
9.82 0.04 0.0114142373204 0.0051046022825
9.86 0.04 0.00228284765035 0.00228284754035
9.9 0.04 0.0 0.0
9.94 0.04 0.00684854248539 0.00395400792583
9.98 0.04 0.00684854248539 0.00395400792583
10.02 0.04 0.00228284765035 0.00228284754035
10.06 0.04 0.00228284765035 0.00228284754035
10.1 0.04 0.00228284765035 0.00228284754035
10.14 0.04 0.0 0.0
10.18 0.04 0.00684854248539 0.00395400792583
10.22 0.04 0.0 0.0
10.26 0.04 0.00228284765035 0.00228284754035
10.3 0.04 0.0 0.0
10.34 0.04 0.0045656953007 0.0032284339524
10.38 0.04 0.00228284765035 0.00228284754035
10.42 0.04 0.10044529289 0.0151426974899
10.46 0.04 0.0 0.0
10.5 0.04 0.00228284765035 0.00228284754035
10.54 0.04 0.00228284765035 0.00228284754035
10.58 0.04 0.0 0.0
10.62 0.04 0.0045656953007 0.0032284339524
10.66 0.04 0.0 0.0
10.7 0.04 0.00228284765035 0.00228284754035
10.74 0.04 0.00228284765035 0.00228284754035
10.78 0.04 0.00684854248539 0.00395400792583
10.82 0.04 0.0 0.0
10.86 0.04 0.0 0.0
10.9 0.04 0.0045656953007 0.0032284339524
10.94 0.04 0.0045656953007 0.0032284339524
10.98 0.04 0.0 0.0
11.02 0.04 0.0 0.0
11.06 0.04 0.0 0.0
11.1 0.04 0.00228284765035 0.00228284754035
11.14 0.04 0.0 0.0
11.18 0.04 0.00228284765035 0.00228284754035
11.22 0.04 0.00228284765035 0.00228284754035
11.26 0.04 0.0 0.0
11.3 0.04 0.0114142373204 0.0051046022825
11.34 0.04 0.0 0.0
11.38 0.04 0.0 0.0
11.42 0.04 0.00228284765035 0.00228284754035
11.46 0.04 0.0 0.0
11.5 0.04 0.0 0.0
11.54 0.04 0.0 0.0
11.58 0.04 0.0045656953007 0.0032284339524
11.62 0.04 0.00228284765035 0.00228284754035
11.66 0.04 0.00228284765035 0.00228284754035
11.7 0.04 0.0 0.0
11.74 0.04 0.0 0.0
11.78 0.04 0.0 0.0
11.82 0.04 0.00684854248539 0.00395400792583
11.86 0.04 0.0 0.0
11.9 0.04 0.0 0.0
11.94 0.04 0.00228284765035 0.00228284754035
11.98 0.04 0.0 0.0
12.02 0.04 0.00228284765035 0.00228284754035
12.06 0.04 0.00228284765035 0.00228284754035
12.1 0.04 0.00228284765035 0.00228284754035
12.14 0.04 0.0 0.0
12.18 0.04 0.0 0.0
12.22 0.04 0.00228284765035 0.00228284754035
12.26 0.04 0.0 0.0
12.3 0.04 0.0 0.0
12.34 0.04 0.0 0.0
12.38 0.04 0.0045656953007 0.0032284339524
12.42 0.04 0.0 0.0
12.46 0.04 0.00228284765035 0.00228284754035
12.5 0.04 0.00228284765035 0.00228284754035
12.54 0.04 0.00228284765035 0.00228284754035
12.58 0.04 0.0045656953007 0.0032284339524
12.62 0.04 0.0045656953007 0.0032284339524
12.66 0.04 0.0045656953007 0.0032284339524
12.7 0.04 0.39036694169 0.0298521051958
12.74 0.04 0.0 0.0
12.78 0.04 0.0 0.0
12.82 0.04 0.0045656953007 0.0032284339524
12.86 0.04 0.0 0.0
12.9 0.04 0.00228284765035 0.00228284754035
12.94 0.04 0.0 0.0
12.98 0.04 0.0 0.0
13.02 0.04 0.00684854248539 0.00395400792583
13.06 0.04 0.0 0.0
13.1 0.04 0.0 0.0
13.14 0.04 0.0 0.0
13.18 0.04 0.00228284765035 0.00228284754035
13.22 0.04 0.00228284765035 0.00228284754035
13.26 0.04 0.0 0.0
13.3 0.04 0.0045656953007 0.0032284339524
13.34 0.04 0.00228284765035 0.00228284754035
13.38 0.04 0.00228284765035 0.00228284754035
13.42 0.04 0.0 0.0
13.46 0.04 0.0045656953007 0.0032284339524
13.5 0.04 0.0 0.0
13.54 0.04 0.0045656953007 0.0032284339524
13.58 0.04 0.0 0.0
